department,time_of_day,day_of_week,number_of_patients,doctor_count,emergency_cases,waiting_time_minutes
General Medicine,12,Saturday,77,9,2,77
Emergency,21,Sunday,22,5,0,37
Pediatrics,10,Sunday,25,8,7,131
Neurology,18,Friday,76,1,18,600
Neurology,7,Saturday,78,1,12,572
Emergency,19,Saturday,55,7,6,130
Orthopedics,7,Sunday,45,6,12,231
Cardiology,9,Saturday,28,5,5,107
Neurology,15,Thursday,28,5,2,72
General Medicine,18,Friday,42,9,5,105
General Medicine,22,Wednesday,48,1,2,340
Neurology,10,Wednesday,61,8,12,226
Orthopedics,12,Monday,63,2,12,352
Orthopedics,8,Wednesday,38,7,12,213
Pediatrics,19,Tuesday,79,6,0,72
General Medicine,23,Saturday,99,2,7,432
Pediatrics,18,Wednesday,86,3,4,217
General Medicine,15,Monday,27,4,19,323
Cardiology,6,Monday,90,7,16,311
Cardiology,18,Tuesday,47,8,8,158
Emergency,11,Monday,86,2,12,406
Pediatrics,14,Sunday,44,8,12,215
Neurology,22,Thursday,51,9,4,121
Pediatrics,13,Sunday,45,7,13,233
Neurology,10,Saturday,51,1,10,419
Orthopedics,9,Saturday,24,6,13,228
Pediatrics,10,Saturday,81,8,6,147
Orthopedics,5,Friday,69,5,16,387
Cardiology,1,Wednesday,72,2,3,275
Cardiology,10,Thursday,28,5,9,173
Emergency,18,Wednesday,40,8,9,166
Pediatrics,5,Thursday,49,2,14,412
Orthopedics,13,Wednesday,6,1,19,324
Neurology,19,Tuesday,32,4,11,211
Cardiology,5,Sunday,30,4,8,191
Cardiology,16,Monday,27,9,2,53
Neurology,9,Monday,83,3,14,364
Orthopedics,0,Sunday,40,4,11,271
Orthopedics,2,Tuesday,95,3,14,444
Pediatrics,7,Thursday,10,2,0,33
Pediatrics,7,Sunday,39,4,14,274
General Medicine,19,Friday,42,8,10,184
General Medicine,21,Thursday,39,1,4,260
Emergency,14,Monday,78,8,6,157
Cardiology,23,Friday,98,8,11,277
Pediatrics,6,Wednesday,57,3,19,388
Orthopedics,10,Friday,42,6,5,116
Neurology,6,Thursday,97,4,2,164
Orthopedics,3,Tuesday,63,1,9,554
Cardiology,11,Wednesday,47,1,3,285
General Medicine,5,Thursday,8,5,12,233
Orthopedics,13,Wednesday,9,8,18,286
Emergency,11,Friday,72,1,4,431
Cardiology,10,Monday,49,2,17,386
General Medicine,18,Thursday,84,7,0,68
Neurology,20,Tuesday,29,8,15,246
General Medicine,4,Sunday,82,3,15,457
Emergency,13,Friday,15,8,15,247
Cardiology,20,Thursday,33,1,18,445
Neurology,23,Tuesday,38,9,15,313
Emergency,15,Thursday,90,2,0,233
General Medicine,12,Friday,18,2,19,335
Emergency,21,Thursday,28,4,19,331
Cardiology,21,Wednesday,63,3,9,250
Pediatrics,19,Friday,43,4,1,87
Emergency,21,Thursday,30,6,13,226
Emergency,3,Sunday,47,7,7,172
General Medicine,10,Monday,40,5,5,135
General Medicine,16,Thursday,43,2,2,153
Neurology,6,Wednesday,65,3,15,346
General Medicine,13,Tuesday,20,3,16,279
Orthopedics,10,Sunday,63,5,11,240
Cardiology,21,Tuesday,10,5,18,283
Cardiology,8,Sunday,60,4,19,367
Pediatrics,22,Tuesday,12,8,2,50
Pediatrics,12,Monday,98,6,12,267
Cardiology,22,Wednesday,31,6,15,305
Pediatrics,17,Friday,75,1,10,538
Neurology,10,Tuesday,31,6,19,329
General Medicine,14,Sunday,93,3,15,394
Cardiology,21,Wednesday,50,6,19,340
Pediatrics,18,Thursday,45,6,1,60
Cardiology,0,Monday,83,2,3,316
Orthopedics,3,Wednesday,29,1,3,233
Emergency,13,Wednesday,90,3,16,393
General Medicine,13,Friday,22,5,0,24
Cardiology,2,Wednesday,16,4,0,28
Emergency,16,Friday,91,7,4,138
Pediatrics,2,Monday,55,4,11,297
Emergency,15,Monday,43,8,5,107
General Medicine,13,Thursday,93,7,5,152
Cardiology,19,Friday,14,9,16,263
Orthopedics,12,Friday,98,1,12,600
Pediatrics,14,Tuesday,78,5,7,189
Cardiology,13,Tuesday,81,4,11,274
General Medicine,23,Thursday,58,6,14,330
Pediatrics,18,Monday,33,1,18,444
Neurology,5,Saturday,45,6,19,411
Emergency,9,Tuesday,13,1,16,311
General Medicine,14,Wednesday,67,1,8,462
Neurology,20,Monday,81,8,17,308
Cardiology,21,Saturday,41,2,1,132
Orthopedics,19,Wednesday,18,6,10,175
Pediatrics,5,Sunday,77,6,19,425
Emergency,22,Friday,76,6,16,373
Pediatrics,9,Monday,43,8,17,294
Cardiology,6,Sunday,44,4,14,270
Pediatrics,21,Thursday,58,3,6,198
Emergency,16,Friday,7,6,15,245
Cardiology,17,Friday,59,4,0,81
Pediatrics,16,Wednesday,37,2,17,348
Orthopedics,8,Sunday,75,6,7,176
General Medicine,9,Friday,23,5,6,120
Cardiology,9,Tuesday,38,9,1,39
General Medicine,6,Monday,82,6,11,246
Cardiology,15,Tuesday,54,3,15,328
Orthopedics,17,Wednesday,51,5,8,182
General Medicine,5,Saturday,50,8,19,388
Neurology,19,Wednesday,60,9,10,194
Emergency,0,Monday,61,8,14,305
Neurology,0,Friday,87,3,2,226
Pediatrics,11,Sunday,55,9,12,218
Orthopedics,20,Sunday,58,3,12,285
Neurology,1,Thursday,94,8,1,99
Cardiology,3,Wednesday,85,9,5,178
Pediatrics,16,Monday,32,7,5,102
Pediatrics,3,Thursday,23,4,11,241
Neurology,10,Friday,31,9,3,64
Neurology,21,Saturday,52,3,4,157
Orthopedics,3,Wednesday,23,3,7,194
Emergency,0,Saturday,55,2,5,265
Neurology,6,Monday,11,3,2,55
Neurology,17,Saturday,33,1,7,279
General Medicine,8,Saturday,47,4,18,343
Cardiology,2,Monday,73,8,10,255
General Medicine,7,Monday,98,5,17,357
General Medicine,23,Wednesday,62,2,9,363
Pediatrics,18,Saturday,12,3,19,314
Emergency,3,Thursday,46,1,11,494
Cardiology,17,Monday,80,2,19,506
Orthopedics,19,Friday,46,1,7,354
Orthopedics,10,Saturday,17,2,18,317
Neurology,13,Monday,30,3,15,280
Neurology,17,Thursday,22,1,17,383
Orthopedics,15,Sunday,46,9,8,155
Neurology,2,Wednesday,55,5,3,127
Emergency,14,Saturday,88,8,8,178
General Medicine,3,Sunday,20,5,1,54
Neurology,4,Monday,7,8,8,158
Pediatrics,16,Monday,95,7,8,199
Neurology,6,Friday,83,4,17,369
Cardiology,15,Friday,49,7,10,188
Emergency,13,Saturday,26,6,12,207
Cardiology,15,Sunday,27,3,5,134
Cardiology,6,Sunday,63,9,8,170
Pediatrics,8,Monday,66,9,15,269
Emergency,3,Saturday,72,5,3,153
Emergency,21,Monday,58,8,1,56
Emergency,10,Friday,61,7,6,143
Emergency,1,Thursday,27,9,14,288
Emergency,11,Tuesday,64,7,5,139
Pediatrics,11,Tuesday,77,4,10,255
Neurology,3,Monday,92,4,19,490
Cardiology,17,Sunday,89,8,16,298
Emergency,20,Friday,59,6,3,101
Neurology,6,Wednesday,84,9,18,326
Neurology,0,Wednesday,67,7,6,176
Cardiology,22,Tuesday,60,7,10,240
Pediatrics,12,Thursday,59,4,12,269
Orthopedics,5,Tuesday,29,3,2,108
Orthopedics,5,Monday,30,8,13,267
Neurology,11,Thursday,53,7,1,66
General Medicine,7,Wednesday,67,4,17,348
General Medicine,23,Sunday,49,4,4,166
Cardiology,21,Friday,77,1,12,571
Orthopedics,18,Friday,83,7,12,250
Neurology,4,Monday,43,1,13,491
Pediatrics,17,Tuesday,69,4,11,259
Orthopedics,4,Monday,73,3,12,374
Neurology,9,Friday,60,3,17,363
Neurology,0,Wednesday,13,1,12,299
Emergency,9,Friday,74,4,3,144
Pediatrics,4,Thursday,32,1,9,359
Emergency,11,Sunday,49,8,4,100
Cardiology,21,Sunday,30,1,17,418
Emergency,6,Saturday,32,6,7,139
Emergency,8,Friday,44,7,13,245
Orthopedics,21,Friday,19,2,1,73
General Medicine,20,Sunday,10,4,7,117
Neurology,11,Saturday,31,3,15,288
Pediatrics,22,Thursday,42,9,6,147
Emergency,0,Tuesday,72,7,2,117
Pediatrics,10,Friday,79,2,3,252
General Medicine,20,Sunday,89,6,6,172
General Medicine,14,Monday,68,9,3,103
Emergency,1,Friday,34,3,8,211
Cardiology,19,Monday,86,6,16,319
Emergency,6,Thursday,7,3,16,262
Orthopedics,20,Friday,66,3,19,403
Neurology,11,Sunday,16,4,13,214
Cardiology,21,Thursday,95,9,13,259
Emergency,17,Thursday,34,8,12,208
Pediatrics,2,Tuesday,89,1,3,599
Cardiology,6,Friday,42,1,12,406
Cardiology,10,Monday,89,7,16,315
Emergency,17,Monday,64,3,14,323
Cardiology,11,Friday,42,7,17,296
Pediatrics,5,Saturday,19,9,10,202
General Medicine,4,Tuesday,22,3,3,108
Cardiology,0,Tuesday,56,3,19,470
General Medicine,11,Tuesday,33,2,10,239
Pediatrics,10,Monday,64,1,9,467
Emergency,3,Thursday,25,9,12,243
Neurology,17,Sunday,21,6,7,129
Cardiology,3,Saturday,22,6,12,246
Neurology,16,Tuesday,61,8,8,165
Pediatrics,1,Monday,41,5,0,61
Cardiology,23,Monday,64,9,0,53
General Medicine,21,Thursday,42,5,14,268
Orthopedics,1,Friday,16,2,3,108
Neurology,11,Friday,79,6,19,363
Cardiology,5,Sunday,88,9,0,77
Neurology,9,Sunday,77,3,11,311
Cardiology,22,Tuesday,5,4,10,194
Emergency,20,Sunday,62,8,18,323
General Medicine,22,Tuesday,7,6,14,272
Neurology,15,Saturday,67,7,9,198
Orthopedics,13,Sunday,25,7,0,24
Orthopedics,6,Thursday,27,4,2,73
Pediatrics,18,Tuesday,13,6,13,214
Cardiology,22,Thursday,87,9,14,319
Neurology,16,Monday,59,3,0,108
Pediatrics,8,Tuesday,23,8,9,171
Neurology,12,Monday,66,7,0,60
Cardiology,21,Wednesday,91,4,14,331
Orthopedics,4,Thursday,95,3,2,236
Emergency,22,Wednesday,95,7,19,438
Orthopedics,4,Tuesday,43,9,11,237
Pediatrics,9,Monday,80,3,18,412
General Medicine,20,Tuesday,31,9,15,246
Emergency,9,Wednesday,50,8,7,146
Pediatrics,6,Tuesday,38,3,13,255
Cardiology,14,Saturday,37,8,17,279
Emergency,6,Friday,96,4,0,128
Pediatrics,14,Wednesday,99,6,1,110
Cardiology,2,Tuesday,54,2,11,381
Orthopedics,18,Monday,24,8,16,267
General Medicine,9,Tuesday,44,9,1,52
Cardiology,14,Monday,99,7,16,321
Neurology,2,Friday,62,8,6,171
Cardiology,5,Tuesday,35,7,5,133
Cardiology,11,Sunday,42,4,5,139
General Medicine,14,Sunday,90,1,7,557
Neurology,5,Friday,49,3,4,183
Pediatrics,12,Wednesday,45,7,14,252
Pediatrics,18,Monday,13,7,6,107
Cardiology,2,Sunday,13,3,2,71
Neurology,7,Saturday,67,1,9,473
Neurology,7,Wednesday,83,9,2,88
General Medicine,22,Monday,81,6,13,328
Orthopedics,19,Friday,26,7,2,58
Pediatrics,14,Sunday,20,1,0,111
General Medicine,3,Thursday,36,1,0,220
Emergency,18,Tuesday,70,4,18,376
Pediatrics,20,Friday,94,7,3,126
General Medicine,2,Monday,18,8,1,47
Pediatrics,12,Monday,42,9,10,190
Orthopedics,7,Monday,12,1,11,236
Emergency,22,Monday,25,4,12,263
Orthopedics,15,Tuesday,60,4,15,311
Emergency,12,Wednesday,50,3,15,325
Cardiology,2,Saturday,47,7,18,370
General Medicine,15,Thursday,96,1,19,600
Emergency,8,Tuesday,50,9,19,316
Orthopedics,13,Monday,52,8,8,165
Pediatrics,12,Tuesday,74,2,15,425
Emergency,20,Friday,88,2,6,323
General Medicine,6,Saturday,35,8,12,217
Emergency,14,Monday,37,1,3,239
Neurology,6,Thursday,48,7,12,217
Pediatrics,5,Monday,75,9,7,194
General Medicine,1,Saturday,12,3,1,65
General Medicine,8,Thursday,77,7,6,154
Cardiology,21,Saturday,6,6,10,168
Orthopedics,23,Thursday,21,7,16,313
Cardiology,16,Wednesday,56,7,13,240
General Medicine,4,Sunday,49,1,12,522
Pediatrics,11,Wednesday,41,3,14,284
Emergency,0,Tuesday,46,1,8,432
Emergency,9,Tuesday,48,5,2,103
Pediatrics,10,Thursday,85,3,12,328
General Medicine,15,Monday,42,1,12,401
Emergency,13,Sunday,98,2,8,366
Emergency,7,Friday,10,5,17,277
Emergency,23,Friday,72,3,4,223
Orthopedics,16,Monday,55,6,10,207
Orthopedics,17,Monday,39,9,1,47
Neurology,11,Wednesday,62,6,16,302
Cardiology,16,Friday,61,2,19,442
Pediatrics,13,Thursday,77,2,3,246
Pediatrics,15,Saturday,10,8,17,272
Pediatrics,13,Tuesday,17,8,19,304
Neurology,8,Saturday,63,6,7,174
Orthopedics,3,Wednesday,90,7,18,413
General Medicine,22,Friday,96,1,11,600
General Medicine,10,Sunday,34,9,10,181
Neurology,5,Monday,6,5,15,274
General Medicine,14,Sunday,62,9,4,114
Pediatrics,4,Sunday,40,2,2,157
Cardiology,10,Friday,76,8,11,226
Emergency,17,Thursday,49,7,14,258
Orthopedics,12,Wednesday,13,4,15,245
Orthopedics,10,Monday,69,3,12,307
Neurology,13,Saturday,81,4,6,197
Orthopedics,17,Thursday,54,4,14,286
Pediatrics,18,Saturday,83,8,2,94
General Medicine,23,Tuesday,36,4,11,263
Pediatrics,14,Wednesday,47,5,7,156
Neurology,8,Thursday,99,2,11,424
Pediatrics,7,Thursday,82,4,17,366
General Medicine,19,Saturday,58,7,2,80
Cardiology,0,Monday,51,3,11,311
Neurology,3,Tuesday,18,1,1,129
Cardiology,13,Saturday,52,8,13,231
Emergency,1,Thursday,59,8,13,286
Cardiology,15,Wednesday,33,6,3,84
Emergency,2,Thursday,51,7,16,338
Emergency,7,Friday,67,2,14,393
Cardiology,5,Wednesday,23,5,15,310
Neurology,15,Wednesday,95,7,4,139
General Medicine,23,Thursday,13,9,16,306
Pediatrics,15,Monday,41,1,6,297
Pediatrics,6,Wednesday,96,3,14,382
General Medicine,12,Friday,56,6,16,293
Emergency,12,Saturday,61,7,11,211
Emergency,4,Monday,92,6,10,278
Neurology,19,Monday,32,1,18,439
Orthopedics,21,Monday,40,4,10,198
Cardiology,17,Wednesday,68,6,1,79
Emergency,14,Monday,22,8,14,238
Pediatrics,17,Thursday,93,4,4,186
Neurology,1,Monday,39,7,17,358
Cardiology,9,Friday,72,3,15,352
Neurology,22,Tuesday,82,8,3,134
Cardiology,12,Friday,43,1,9,353
Cardiology,17,Wednesday,94,4,1,145
General Medicine,14,Monday,12,8,14,226
Emergency,11,Monday,92,4,3,176
Neurology,14,Thursday,84,2,15,442
Neurology,12,Saturday,88,2,6,314
General Medicine,17,Monday,19,4,11,201
Pediatrics,14,Sunday,11,4,2,61
Pediatrics,22,Friday,21,2,16,364
Emergency,10,Wednesday,90,7,8,194
Emergency,18,Tuesday,90,6,7,183
Orthopedics,2,Monday,68,3,5,243
General Medicine,6,Tuesday,16,8,14,229
Pediatrics,20,Monday,86,8,9,202
Cardiology,13,Wednesday,60,1,5,385
Neurology,13,Saturday,50,3,14,313
Emergency,21,Friday,51,5,13,253
Neurology,12,Wednesday,83,2,18,484
Neurology,11,Tuesday,20,5,12,215
Orthopedics,23,Monday,73,3,13,398
Pediatrics,8,Tuesday,6,9,2,48
Emergency,0,Friday,96,1,3,600
Neurology,18,Sunday,58,4,13,278
Emergency,10,Wednesday,31,6,13,224
Cardiology,22,Tuesday,35,9,7,160
Orthopedics,21,Tuesday,45,3,9,221
Cardiology,22,Friday,40,3,8,237
Emergency,23,Sunday,51,5,13,302
Emergency,21,Monday,47,7,7,143
Pediatrics,18,Sunday,69,5,10,234
Neurology,17,Tuesday,54,8,9,183
Neurology,11,Friday,97,5,17,360
Cardiology,22,Monday,5,7,3,76
Orthopedics,0,Sunday,76,6,3,147
General Medicine,18,Sunday,61,2,11,319
Neurology,19,Sunday,20,3,17,297
Pediatrics,16,Saturday,32,4,7,161
Cardiology,4,Monday,90,5,2,146
Cardiology,2,Sunday,86,9,17,366
General Medicine,1,Saturday,26,6,6,149
Pediatrics,2,Wednesday,45,1,0,289
Orthopedics,7,Friday,80,3,12,321
Pediatrics,15,Sunday,23,7,2,54
Orthopedics,5,Monday,93,8,2,107
Pediatrics,12,Saturday,54,7,14,257
Pediatrics,22,Saturday,63,5,18,402
Emergency,21,Wednesday,73,8,3,98
Cardiology,21,Thursday,38,9,12,217
Pediatrics,15,Friday,43,7,12,214
General Medicine,15,Thursday,78,9,14,262
Pediatrics,2,Monday,11,1,18,407
Neurology,12,Friday,56,9,15,262
Cardiology,13,Wednesday,64,3,6,208
Neurology,7,Monday,56,6,2,90
Cardiology,11,Friday,83,8,19,347
Neurology,22,Friday,28,3,1,86
Pediatrics,22,Thursday,30,4,17,356
Pediatrics,21,Monday,94,7,10,225
Emergency,20,Wednesday,94,7,0,77
General Medicine,7,Wednesday,14,4,15,242
Neurology,20,Monday,21,9,16,250
Orthopedics,8,Monday,82,3,15,370
Emergency,0,Saturday,6,8,9,180
Neurology,5,Tuesday,81,8,16,361
Neurology,22,Thursday,31,4,2,84
Emergency,18,Monday,77,7,17,325
Pediatrics,22,Monday,75,4,18,449
Neurology,10,Tuesday,52,1,13,469
Pediatrics,10,Tuesday,78,1,1,411
Emergency,22,Friday,13,1,11,289
Pediatrics,12,Sunday,90,2,10,387
Cardiology,10,Wednesday,27,6,16,277
Orthopedics,17,Thursday,75,5,5,164
Neurology,22,Friday,77,2,18,562
General Medicine,14,Monday,31,8,12,208
Orthopedics,0,Tuesday,92,9,6,178
Pediatrics,20,Saturday,97,7,10,230
Neurology,6,Wednesday,85,9,6,140
Pediatrics,22,Friday,88,4,12,350
Cardiology,12,Saturday,75,7,12,255
Emergency,11,Wednesday,47,5,0,66
Neurology,17,Sunday,11,5,18,296
Cardiology,23,Sunday,96,3,18,530
Cardiology,18,Saturday,87,9,14,272
Neurology,14,Tuesday,67,5,13,275
Pediatrics,7,Friday,88,6,2,121
General Medicine,18,Friday,48,3,19,372
Cardiology,9,Sunday,43,7,3,81
Orthopedics,6,Wednesday,44,9,6,124
Cardiology,17,Saturday,11,9,0,19
General Medicine,15,Tuesday,74,5,18,352
Pediatrics,19,Monday,29,7,2,57
Pediatrics,5,Friday,63,3,19,488
Orthopedics,8,Monday,17,6,14,229
Cardiology,20,Tuesday,90,8,12,253
Pediatrics,12,Sunday,85,8,13,262
General Medicine,20,Friday,90,2,6,334
Neurology,7,Friday,66,6,0,75
Emergency,15,Saturday,12,7,12,200
Emergency,12,Monday,49,7,3,100
Emergency,12,Sunday,22,3,11,214
Cardiology,16,Saturday,92,9,6,153
Orthopedics,22,Thursday,64,2,1,223
Pediatrics,19,Monday,64,3,16,354
Neurology,4,Monday,6,2,0,34
General Medicine,21,Thursday,70,9,13,249
Neurology,20,Tuesday,95,4,0,121
General Medicine,16,Tuesday,18,2,2,97
Cardiology,8,Friday,52,3,10,254
Emergency,1,Wednesday,60,4,6,206
Cardiology,17,Saturday,16,6,8,146
Orthopedics,8,Wednesday,96,5,2,135
Orthopedics,5,Friday,59,3,0,131
General Medicine,10,Wednesday,32,8,18,299
Pediatrics,5,Monday,93,8,1,102
Pediatrics,5,Monday,8,7,4,84
General Medicine,12,Thursday,94,3,16,417
Orthopedics,10,Thursday,40,1,18,475
Orthopedics,13,Friday,54,5,4,126
Orthopedics,1,Friday,7,1,13,283
Cardiology,7,Sunday,5,6,9,148
Orthopedics,2,Friday,21,7,6,140
Neurology,22,Monday,75,5,7,228
Emergency,20,Wednesday,66,4,7,198
Orthopedics,2,Saturday,52,2,6,273
General Medicine,0,Sunday,66,5,12,303
Emergency,23,Sunday,73,9,13,298
Cardiology,18,Sunday,23,4,18,304
General Medicine,17,Friday,38,2,10,251
Emergency,16,Friday,53,6,1,65
General Medicine,19,Monday,84,8,16,300
Cardiology,23,Saturday,51,2,5,246
Neurology,12,Monday,95,9,8,175
Cardiology,2,Saturday,54,7,18,385
Cardiology,0,Monday,93,2,4,366
General Medicine,3,Wednesday,30,5,8,193
Pediatrics,12,Friday,60,5,6,166
Orthopedics,16,Tuesday,82,7,3,109
Orthopedics,10,Tuesday,18,5,17,274
Neurology,1,Friday,82,6,17,404
Neurology,15,Sunday,29,9,19,302
Orthopedics,1,Friday,8,3,16,315
Pediatrics,18,Friday,83,3,3,194
Orthopedics,22,Friday,36,8,15,321
Pediatrics,18,Sunday,86,6,4,138
Neurology,15,Saturday,82,3,8,264
Emergency,21,Wednesday,69,2,1,200
General Medicine,18,Tuesday,65,2,1,190
Neurology,8,Thursday,24,2,3,113
Neurology,0,Tuesday,78,5,19,448
Cardiology,9,Tuesday,14,5,19,305
Cardiology,18,Sunday,92,1,16,600
Cardiology,0,Monday,38,2,19,458
General Medicine,1,Friday,65,2,18,548
Cardiology,15,Friday,96,4,2,163
Pediatrics,11,Friday,31,7,4,86
Orthopedics,7,Monday,44,3,9,216
Emergency,22,Sunday,69,5,5,178
Neurology,17,Wednesday,37,9,2,56
Pediatrics,1,Wednesday,72,5,16,387
Emergency,12,Sunday,75,9,9,193
Pediatrics,5,Thursday,13,1,11,287
Pediatrics,20,Wednesday,20,9,0,11
Neurology,5,Sunday,9,5,17,325
Orthopedics,8,Wednesday,27,8,18,294
Cardiology,15,Friday,47,5,19,342
General Medicine,10,Saturday,93,6,3,131
Orthopedics,6,Sunday,61,8,14,247
General Medicine,9,Tuesday,55,2,8,262
Neurology,9,Wednesday,17,3,5,107
Neurology,19,Wednesday,28,9,11,195
Neurology,17,Monday,15,5,17,278
Emergency,23,Thursday,56,5,14,319
General Medicine,19,Saturday,21,9,18,287
Orthopedics,8,Monday,41,3,8,204
Orthopedics,14,Friday,17,4,12,208
Pediatrics,3,Tuesday,66,7,15,334
Pediatrics,7,Thursday,95,2,12,426
Pediatrics,8,Monday,88,8,0,66
Neurology,12,Sunday,12,5,17,276
Orthopedics,8,Wednesday,60,1,2,345
General Medicine,3,Wednesday,97,3,16,493
Neurology,16,Thursday,87,9,4,121
Emergency,15,Wednesday,74,5,5,159
Pediatrics,14,Sunday,48,8,16,273
Neurology,2,Monday,64,1,16,600
Neurology,19,Monday,45,7,0,47
Emergency,4,Wednesday,25,7,6,138
Cardiology,22,Wednesday,90,8,15,348
Orthopedics,4,Friday,46,3,4,179
General Medicine,19,Tuesday,78,1,15,600
Cardiology,14,Thursday,78,9,3,98
Pediatrics,17,Monday,33,1,10,327
Neurology,14,Thursday,84,6,13,276
Emergency,1,Friday,69,9,12,276
Emergency,12,Monday,21,2,7,167
Orthopedics,3,Friday,34,4,19,408
Cardiology,9,Friday,30,2,14,296
Orthopedics,12,Saturday,57,4,17,337
Neurology,9,Wednesday,23,2,6,164
Orthopedics,8,Sunday,57,1,18,567
General Medicine,7,Saturday,89,3,8,279
Emergency,2,Thursday,21,8,10,202
Emergency,15,Sunday,50,5,9,190
Pediatrics,13,Thursday,89,4,13,321
Pediatrics,8,Wednesday,57,5,15,294
Neurology,20,Sunday,68,6,7,176
General Medicine,10,Saturday,49,6,0,51
Cardiology,2,Thursday,53,5,11,275
Orthopedics,4,Saturday,23,6,2,70
Neurology,9,Wednesday,75,9,1,66
Pediatrics,12,Sunday,85,5,15,317
Orthopedics,3,Sunday,69,6,3,143
Pediatrics,23,Monday,41,4,1,87
Orthopedics,12,Friday,74,3,11,299
Cardiology,11,Friday,30,6,16,274
Neurology,4,Saturday,6,5,19,366
Orthopedics,9,Sunday,63,4,9,224
General Medicine,23,Thursday,9,5,19,367
Emergency,8,Saturday,41,7,7,145
General Medicine,19,Saturday,35,1,17,435
General Medicine,6,Tuesday,80,1,17,600
Emergency,1,Sunday,98,1,17,600
General Medicine,21,Friday,52,2,1,151
Orthopedics,23,Sunday,10,9,11,208
Orthopedics,22,Wednesday,19,5,9,191
Orthopedics,6,Saturday,19,9,7,129
Emergency,7,Tuesday,65,5,18,353
General Medicine,6,Tuesday,20,7,9,159
Emergency,20,Friday,24,6,10,175
Orthopedics,22,Friday,81,2,13,491
General Medicine,13,Friday,48,3,14,305
General Medicine,18,Wednesday,46,5,9,200
Pediatrics,4,Tuesday,50,4,3,148
Pediatrics,22,Thursday,99,6,6,220
Cardiology,17,Wednesday,38,8,10,186
Neurology,19,Monday,68,8,2,78
Pediatrics,11,Saturday,33,3,4,128
Emergency,22,Friday,7,4,1,46
Pediatrics,16,Tuesday,13,1,11,227
Cardiology,12,Saturday,79,2,4,268
General Medicine,1,Sunday,79,9,6,181
Cardiology,12,Wednesday,29,2,3,124
General Medicine,6,Monday,90,6,10,224
General Medicine,9,Sunday,46,7,8,162
Neurology,22,Wednesday,50,6,3,122
Pediatrics,5,Wednesday,77,8,8,216
Emergency,2,Thursday,88,9,11,268
Emergency,2,Saturday,63,8,15,323
Orthopedics,17,Thursday,25,5,0,29
General Medicine,10,Wednesday,78,8,7,164
Emergency,21,Monday,26,9,0,24
Neurology,19,Tuesday,33,8,19,319
General Medicine,4,Tuesday,67,2,18,539
Neurology,18,Sunday,77,2,3,243
Emergency,21,Saturday,65,3,13,314
Emergency,18,Friday,68,7,13,254
Orthopedics,14,Friday,73,9,8,162
Emergency,15,Tuesday,44,8,8,155
General Medicine,23,Wednesday,79,9,16,353
General Medicine,8,Wednesday,5,6,14,223
General Medicine,3,Thursday,69,1,9,589
Orthopedics,14,Saturday,66,4,16,332
Orthopedics,11,Thursday,58,6,8,180
Emergency,22,Friday,64,6,3,131
Cardiology,2,Tuesday,50,8,13,283
Cardiology,22,Sunday,9,1,2,102
Orthopedics,13,Wednesday,26,2,11,238
Emergency,16,Tuesday,94,2,0,242
Cardiology,18,Monday,57,6,0,57
Emergency,5,Tuesday,74,7,12,279
Emergency,3,Monday,36,2,13,351
Emergency,6,Thursday,15,5,15,246
Pediatrics,18,Thursday,14,6,6,107
General Medicine,16,Friday,43,4,9,197
Emergency,15,Tuesday,35,1,14,388
Pediatrics,14,Tuesday,16,3,7,140
Orthopedics,21,Monday,84,9,10,207
Cardiology,7,Thursday,42,6,13,245
General Medicine,18,Monday,71,2,12,378
Cardiology,7,Thursday,70,9,12,219
General Medicine,17,Monday,56,4,8,195
Cardiology,15,Thursday,9,8,16,254
General Medicine,19,Monday,15,7,17,276
Cardiology,18,Sunday,29,3,18,330
Cardiology,9,Thursday,39,8,12,211
Cardiology,16,Saturday,39,4,11,211
Cardiology,12,Monday,26,2,19,365
Orthopedics,12,Tuesday,41,5,19,338
Emergency,6,Friday,90,1,7,568
Neurology,9,Saturday,59,8,10,195
Pediatrics,1,Saturday,79,8,6,181
Neurology,3,Monday,99,3,0,198
Neurology,5,Friday,76,1,9,600
General Medicine,23,Tuesday,68,4,14,373
Emergency,17,Saturday,24,9,3,68
General Medicine,22,Tuesday,8,9,0,28
Emergency,5,Thursday,22,1,10,318
Emergency,22,Sunday,55,7,4,146
Cardiology,16,Friday,72,6,18,353
Orthopedics,13,Sunday,24,7,18,293
Cardiology,23,Wednesday,13,7,3,74
Orthopedics,10,Thursday,84,8,1,83
General Medicine,18,Friday,30,8,6,115
Orthopedics,1,Monday,29,2,12,313
General Medicine,2,Sunday,72,4,19,457
Neurology,10,Monday,45,4,11,227
Neurology,5,Tuesday,63,8,1,77
Orthopedics,13,Saturday,49,3,8,210
Orthopedics,18,Sunday,45,3,15,299
General Medicine,15,Wednesday,42,2,7,227
Cardiology,20,Monday,23,1,17,387
General Medicine,21,Friday,18,8,3,68
Cardiology,23,Sunday,25,9,10,209
Neurology,6,Sunday,19,9,16,255
Emergency,7,Saturday,7,8,7,117
Orthopedics,18,Saturday,41,5,18,326
Cardiology,19,Friday,50,1,7,367
General Medicine,15,Saturday,20,9,5,98
Neurology,21,Monday,18,6,1,42
Cardiology,6,Friday,13,7,14,234
General Medicine,8,Friday,11,8,0,21
Orthopedics,12,Tuesday,18,5,5,106
